model,cohort,users,eligible_users,no_positive_users,raw_ndcg_at_20,raw_recall_at_50,ndcg_at_20,recall_at_50,hit_rate_at_20,category_violations,short_lists,latency_p95_ms,model_version,coverage_at_20
before,all,7581,7541,0,0.0060382833114710046,0.04716207812764995,0.0061175538148015894,0.04789405219719502,0.02294125447553375,31,0,16.81269999971846,trade-20260906055031-6f240414-4f63f5f4,0.23027786649632706
before,cold,10,10,0,0.0,0.0,0.0,0.0,0.0,0,0,17.439790001208166,,
before,sparse,765,763,0,0.0029442506496857278,0.04568627450980393,0.002951968213642964,0.045806028833551775,0.01703800786369594,1,0,16.98196000033931,,
before,warm,6806,6768,0,0.006394927128600073,0.04739725452331976,0.006483469499173938,0.04820021389170325,0.02364066193853428,30,0,16.77882500098349,,
after,all,7581,7541,0,0.0059423502500433895,0.05292177812953436,0.006019365965211703,0.05355611545772002,0.02493038058612916,0,0,18.729800000073737,trade-20260906055623-6f240414-4f63f5f4,0.20839987224528905
after,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0,16.76387999978033,,
after,sparse,770,768,0,0.0039883550219926315,0.06487012987012987,0.0039987413631957375,0.06503906250000001,0.0234375,0,0,18.72438999980659,,
after,warm,6806,6768,0,0.006167781939266031,0.05160887452248016,0.006253103631313109,0.05229265169424744,0.025118203309692673,0,0,18.72952500025349,,
