model,cohort,users,eligible_users,no_positive_users,raw_ndcg_at_20,raw_recall_at_50,ndcg_at_20,recall_at_50,hit_rate_at_20,category_violations,short_lists,latency_p95_ms,model_version,coverage_at_20
popular_quota,all,7581,7541,0,0.00268479448406086,0.017387767664775976,0.0027411489781393045,0.017734164346019536,0.01299562392255669,0,0,18.46549999936542,trade-20260906065816234951-6f240414-4f63f5f4:popular_quota,0.003992334717342702
popular_quota,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0,16.73813999950653,,
popular_quota,sparse,770,768,0,0.0011778936032003984,0.018593073593073592,0.0011809610344587329,0.018641493055555555,0.005208333333333333,0,0,18.565010000475013,,
popular_quota,warm,6806,6768,0,0.002857250794769479,0.017264178665883045,0.0029202166621873794,0.017644306540583136,0.013888888888888888,0,0,18.457575000411452,,
pool_without_ranker,all,7581,7541,0,0.00656689763643,0.03853713230444532,0.006695738226019572,0.03934049418733148,0.02665428988197852,0,5,7.254099999045138,trade-20260906065816234951-6f240414-4f63f5f4:pool_without_ranker,0.5624401149792398
pool_without_ranker,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0.2857800001947908,,
pool_without_ranker,sparse,770,768,0,0.00649265906033138,0.03872294372294372,0.006509567026634327,0.040125868055555555,0.02734375,0,0,7.182085000749794,,
pool_without_ranker,warm,6806,6768,0,0.006580120996961602,0.038544421588794196,0.006721810650998586,0.039280437352245866,0.026595744680851064,0,0,7.25842499969076,,
pool_without_mmr,all,7581,7541,0,0.004283342881108963,0.03947713896269496,0.004312855354250833,0.04002911070276141,0.016841267736374486,0,5,7.2326999998040264,trade-20260906065816234951-6f240414-4f63f5f4:pool_without_mmr,0.6531459597572661
pool_without_mmr,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0.29715999953623395,,
pool_without_mmr,sparse,770,768,0,0.0032478914027837197,0.0383982683982684,0.003256349453311802,0.039149305555555555,0.01171875,0,0,7.206899999982851,,
pool_without_mmr,warm,6806,6768,0,0.004403635909718422,0.03962819920798175,0.004435928759790494,0.040158519081391425,0.01743498817966903,0,0,7.233375000851083,,
pool_without_itemcf,all,7581,7541,0,0.003320242529769973,0.04082920333414991,0.0033446463947625843,0.0413662454771061,0.014321707996286964,0,5,8.69319999947038,trade-20260906065816234951-6f240414-4f63f5f4:pool_without_itemcf,0.7574257425742574
pool_without_itemcf,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0.4887399994913721,,
pool_without_itemcf,sparse,770,768,0,0.004141011420576995,0.04186147186147186,0.004151795304484748,0.041970486111111115,0.018229166666666668,0,0,8.619450000787763,,
pool_without_itemcf,warm,6806,6768,0,0.0032298236591745333,0.04074241215734016,0.0032555259558304317,0.04132823933355848,0.013888888888888888,0,0,8.698075000211247,,
pool_without_tower,all,7581,7541,0,0.003252775997836859,0.03958140966451216,0.0032906851973188967,0.040277593599434204,0.014454316403659993,0,5,8.181100000001607,trade-20260906065816234951-6f240414-4f63f5f4:pool_without_tower,0.8241775790482274
pool_without_tower,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0.4523599985986948,,
pool_without_tower,sparse,770,768,0,0.003172801977217268,0.04222943722943723,0.003181064482366271,0.042990451388888885,0.015625,0,0,8.241324998925847,,
pool_without_tower,warm,6806,6768,0,0.0032642135346964344,0.039310902145166034,0.003305555489143692,0.03999950748620961,0.014332151300236406,0,0,8.170225000412756,,
pool_reference,all,7581,7541,0,0.0034037544537884276,0.0385393307830981,0.0034286012941106693,0.039152632276886354,0.015382575255271183,0,5,9.475599999859696,trade-20260906065816234951-6f240414-4f63f5f4:pool_reference,0.8160332162248483
pool_reference,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0.3707200001372257,,
pool_reference,sparse,770,768,0,0.003163122540513987,0.040346320346320345,0.0031713598387965755,0.041102430555555555,0.015625,0,0,9.557510000468028,,
pool_reference,warm,6806,6768,0,0.0034334790123382755,0.03836320893329415,0.003460324763991251,0.03896030338849488,0.015366430260047281,0,0,9.472100000039063,,
