model,cohort,users,eligible_users,no_positive_users,raw_ndcg_at_20,raw_recall_at_50,ndcg_at_20,recall_at_50,hit_rate_at_20,category_violations,short_lists,latency_p95_ms,model_version,coverage_at_20
before,all,7581,7541,0,0.007669287965605759,0.04456536077034692,0.00785680669101311,0.044801750430977325,0.035406444768598326,7578,0,1.1663000004773494,trade-20260903072306-20c8891e-4f63f5f4,0.1483551580964548
before,cold,10,10,0,0.0,0.05,0.0,0.05,0.0,10,0,0.7637300003807468,,
before,sparse,765,763,0,0.007665354197829892,0.04265795206971677,0.007698712768029653,0.042769768457841854,0.03407601572739188,764,0,1.2859999998909184,,
before,warm,6806,6768,0,0.007680998546270554,0.04477177000685669,0.007886238388729793,0.045023148148148145,0.03560874704491726,6804,0,1.155974999164755,,
after,all,7581,7541,0,0.010423255009800547,0.055023837789963635,0.01048168224850156,0.055410738755122785,0.044821641692083275,7579,0,1.0697999987314688,trade-20260903072831-20c8891e-4f63f5f4,0.16368572341105078
after,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,5,0,0.6751199995051138,,
after,sparse,770,768,0,0.0066995661747175595,0.04387445887445887,0.006720281694416917,0.045290798611111106,0.033854166666666664,768,0,1.1149850000037984,,
after,warm,6806,6768,0,0.010852193693030476,0.05632565103620055,0.010916251402872055,0.05660003658673872,0.04609929078014184,6806,0,1.06387500090932,,
