model,cohort,users,eligible_users,no_positive_users,raw_ndcg_at_20,raw_recall_at_50,ndcg_at_20,recall_at_50,hit_rate_at_20,category_violations,short_lists,latency_p95_ms,model_version,coverage_at_20
before,all,7581,7541,0,0.0031893812786770712,0.03356417359187442,0.0032420077346773323,0.03415108517880033,0.014189099588913937,0,0,16.71880000139936,trade-20260906064730150008-6f240414-4f63f5f4,0.7687639731715107
before,cold,10,10,0,0.0,0.0,0.0,0.0,0.0,0,0,14.25463999939893,,
before,sparse,765,763,0,0.002639479373066588,0.02888888888888889,0.002646398060807261,0.028964613368283095,0.014416775884665793,0,0,16.995220000171685,,
before,warm,6806,6768,0,0.0032558768370929973,0.034138995004407875,0.003313944829610789,0.03478624901497242,0.014184397163120567,0,0,16.692849999344617,,
after,all,7581,7541,0,0.003279531074245132,0.03779404651980829,0.0032993462340092333,0.038270786367855726,0.014454316403659993,0,0,18.472899999324,trade-20260906065816234951-6f240414-4f63f5f4,0.7488022995847972
after,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0,17.21743999987666,,
after,sparse,770,768,0,0.005107345721496539,0.042748917748917745,0.005120646100979603,0.04286024305555555,0.01953125,0,0,18.292140000448853,,
after,warm,6806,6768,0,0.003075149701483986,0.03726124008228034,0.0030951113689585245,0.03777827029156816,0.013888888888888888,0,0,18.479900000329508,,
