model,cohort,users,eligible_users,no_positive_users,raw_ndcg_at_20,raw_recall_at_50,ndcg_at_20,recall_at_50,hit_rate_at_20,category_violations,short_lists,latency_p95_ms,model_version,coverage_at_20
before,all,2,2,0,0.11568910657987957,0.5,0.11568910657987957,0.5,0.5,0,0,4.047529999752442,trade-20260906060950032588-6f240414-556f5a03,0.18333333333333332
before,cold,0,0,0,,,,,,0,0,,,
before,sparse,2,2,0,0.11568910657987957,0.5,0.11568910657987957,0.5,0.5,0,0,4.047529999752442,,
before,warm,0,0,0,,,,,,0,0,,,
after,all,2,2,0,0.11770445668331914,0.5,0.11770445668331914,0.5,0.5,0,0,3.2139150001057715,trade-20260906060951552508-6f240414-556f5a03,0.175
after,cold,0,0,0,,,,,,0,0,,,
after,sparse,2,2,0,0.11770445668331914,0.5,0.11770445668331914,0.5,0.5,0,0,3.2139150001057715,,
after,warm,0,0,0,,,,,,0,0,,,
