persona,user_key,stage,hit_rate_at_20,ndcg_at_20,recall_at_20,recall_at_50,category_affinity,intra_list_diversity,novelty,latency_ms,latency_p95_ms,coverage
重点单一兴趣,1bca71c0959b41df25573fbea899f658474f3a08668ec152778f99a8eabbc676,before,0.0,0.0,0.0,0.0,1.0,0.0,12.512982768535927,0.1614333329295429,0.2071899998554727,0.01405301820504631
重点单一兴趣,1bca71c0959b41df25573fbea899f658474f3a08668ec152778f99a8eabbc676,after,0.0,0.0,0.0,0.0,1.0,0.10000000000000002,12.552622861058557,0.09946666735534866,0.11666999780572951,0.013573938038965188
多兴趣,e0e3ee66bd4561a1fa9fedddd2eed1e0b0af49133bfb549acfbc87a674d97e71,before,0.0,0.0,0.0,0.0,1.0,0.6999999999999998,13.309703312713337,0.14413333337870426,0.19625999993877485,0.01405301820504631
多兴趣,e0e3ee66bd4561a1fa9fedddd2eed1e0b0af49133bfb549acfbc87a674d97e71,after,0.0,0.0,0.0,0.0,1.0,0.6999999999999998,13.264647576682007,0.12119999882997945,0.14377999759744853,0.013573938038965188
只加购未购买,000a9d40fce8c24aca432ff2ec1d05f6c77b3d1c82956987d2f6e2fb4e83a46e,before,0.0,0.0,0.0,0.0,1.0,0.18947368421052632,12.622976789133451,0.11729999944994536,0.1569599986396497,0.01405301820504631
只加购未购买,000a9d40fce8c24aca432ff2ec1d05f6c77b3d1c82956987d2f6e2fb4e83a46e,after,0.0,0.0,0.0,0.0,1.0,0.0,12.667180363287992,0.10626666698954068,0.12133999916841276,0.013573938038965188
价格敏感,ad52ba7e2e3a41cede5c7d6296d703770592cfdd8b7d511628db11a0f3250ed9,before,0.0,0.0,0.0,0.0,0.9,0.18947368421052632,12.988581652266646,0.1487333332382453,0.2106199986883439,0.01405301820504631
价格敏感,ad52ba7e2e3a41cede5c7d6296d703770592cfdd8b7d511628db11a0f3250ed9,after,0.0,0.0,0.0,0.0,0.9,0.19473684210526318,13.102561596450235,0.11469999905481625,0.12938999861944467,0.013573938038965188
冷启动,13ae55fcf51e8501d6238bcd0e1a5a5b40c1d16c7182c0a09dd537a91d2d0c15,before,0.0,0.0,0.0,0.0,0.0,0.7526315789473684,13.149371086503217,0.0477666665877526,0.059040000996901654,0.01405301820504631
冷启动,13ae55fcf51e8501d6238bcd0e1a5a5b40c1d16c7182c0a09dd537a91d2d0c15,after,0.0,0.0,0.0,0.0,0.0,0.7421052631578947,12.80953980913921,0.03766666729158411,0.04283000162104145,0.013573938038965188
