stage,model,metric,value,parameters,trials,elapsed_seconds
before,two_tower,ndcg@20,0.006485277404642485,"{""embedding_dim"": 32, ""hidden_dims"": ""256-128"", ""learning_rate"": 0.002197667006054951, ""weight_decay"": 0.0006598743339060753, ""batch_size"": 512, ""dropout"": 0.37005436695411276, ""negative_count"": 32, ""temperature"": 0.09331952778084092, ""max_epochs"": 40, ""patience"": 5, ""selected_epochs"": 27}",30,1072.113298799999
before,lambda_rank,ndcg@20,0.8517084525747056,"{""num_leaves"": 15, ""learning_rate"": 0.014035620797272453, ""min_child_samples"": 29, ""feature_fraction"": 0.8906806185147088, ""bagging_fraction"": 0.9071390813771977, ""lambda_l1"": 9.732581607912724, ""lambda_l2"": 0.00014884640597904477}",50,1072.113298799999
after,two_tower,ndcg@20,0.007844584485101684,"{""embedding_dim"": 32, ""hidden_dims"": ""256-128"", ""learning_rate"": 0.002197667006054951, ""weight_decay"": 0.0006598743339060753, ""batch_size"": 512, ""dropout"": 0.37005436695411276, ""negative_count"": 32, ""temperature"": 0.09331952778084092, ""max_epochs"": 40, ""patience"": 5, ""selected_epochs"": 27}",0,328.5434671999974
after,lambda_rank,ndcg@20,0.8604290968340441,"{""num_leaves"": 15, ""learning_rate"": 0.014035620797272453, ""min_child_samples"": 29, ""feature_fraction"": 0.8906806185147088, ""bagging_fraction"": 0.9071390813771977, ""lambda_l1"": 9.732581607912724, ""lambda_l2"": 0.00014884640597904477}",0,328.5434671999974
