model,cohort,users,eligible_users,no_positive_users,raw_ndcg_at_20,raw_recall_at_50,ndcg_at_20,recall_at_50,hit_rate_at_20,category_violations,short_lists,latency_p95_ms,model_version,coverage_at_20
before,all,7572,7532,0,0.007678403601064085,0.04461833069202325,0.007866194803097432,0.04485528412108338,0.03544875199150292,7569,0,0.468844999841167,trade-20260903072306-20c8891e-4f63f5f4,0.1483551580964548
before,cold,10,10,0,0.0,0.05,0.0,0.05,0.0,10,0,0.19175499974153354,,
before,sparse,762,760,0,0.007695532757663868,0.04282589676290464,0.007729102423692928,0.04293859649122807,0.034210526315789476,761,0,0.480594999726236,,
before,warm,6800,6762,0,0.007687775897929028,0.04481127450980392,0.007893235938320503,0.045063097702849254,0.03564034309375924,6798,0,0.46730500025660143,,
after,all,7572,7532,0,0.010435643981682244,0.05495717304354389,0.01049420682898968,0.05534418228257846,0.04487519915029209,7570,0,0.5343000002540066,trade-20260903072831-20c8891e-4f63f5f4,0.16368572341105078
after,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,5,0,0.20160000040050363,,
after,sparse,767,765,0,0.0067257704752705615,0.044046066927422856,0.006746635740277375,0.04546840958605664,0.03398692810457516,765,0,0.5312499995852701,,
after,warm,6800,6762,0,0.010861769158053739,0.05622829131652661,0.010925937517692705,0.05650237320601119,0.04614019520851819,6800,0,0.5343000002540066,,
